alpha,beta,mean_cost,std_cost,wall_s,n_days
0.0,0.0,135.74104382316523,57.574988673452935,16.677860975265503,50
0.0,0.1,157.3484994494539,73.11701771668335,16.78659987449646,50
0.0,0.3,154.12483522180565,69.32658950393704,17.94705581665039,50
0.0,0.5,155.57779007984445,70.46596633269883,20.839876174926758,50
0.0,1.0,143.99944477978974,62.95229748143874,20.097713232040405,50
0.0,2.0,145.13879353882126,60.67548373444688,21.118342876434326,50
0.5,0.0,140.70704642061577,59.64983777236556,22.1613507270813,50
0.5,0.1,141.4122141639389,62.10187666357121,20.88801884651184,50
0.5,0.3,143.13711001240074,63.265194189810835,20.54357123374939,50
0.5,0.5,143.74682695376703,64.87020263049419,22.359076261520386,50
0.5,1.0,143.13237649615215,62.62639715152748,24.665289163589478,50
0.5,2.0,146.9862008684512,61.596141243345265,23.670023918151855,50
1.0,0.0,140.9844612619903,61.322344664653244,21.827250957489014,50
1.0,0.1,143.43402205744215,62.9350233219309,22.60106897354126,50
1.0,0.3,140.3854754778147,61.93607857511552,22.73537516593933,50
1.0,0.5,142.9909910834287,64.25981798244332,22.848500967025757,50
1.0,1.0,141.1983304624589,60.044254875494254,23.569320917129517,50
1.0,2.0,146.72342193731558,63.40941083033307,24.07703185081482,50
2.0,0.0,143.60842870049837,60.10629350812254,23.27049493789673,50
2.0,0.1,145.70677444290646,62.81349259117703,23.451032161712646,50
2.0,0.3,146.2279841641683,61.416069090738475,23.39574384689331,50
2.0,0.5,145.7716850957555,62.28629478184206,24.592694997787476,50
2.0,1.0,146.60620970704625,60.5915435191531,24.84093999862671,50
2.0,2.0,148.32893388848342,60.96464205165117,23.3316650390625,50
5.0,0.0,171.74554956414067,73.58652578770442,22.314777135849,50
5.0,0.1,168.58041899284635,69.14400594587633,22.38891077041626,50
5.0,0.3,168.0706804421303,69.86365316089241,22.738609075546265,50
5.0,0.5,172.91742816806058,71.00510937142116,22.833948135375977,50
5.0,1.0,169.79986778865333,69.57215701426547,22.61028003692627,50
5.0,2.0,175.9225374375753,72.88541066190898,23.058892965316772,50
10.0,0.0,177.62675846053398,72.11512797219376,21.5380699634552,50
10.0,0.1,177.22439600538604,71.77374294446379,22.079505920410156,50
10.0,0.3,176.38731942015278,72.23804813915778,23.043002128601074,50
10.0,0.5,176.1202255918353,73.55223060745104,22.86358666419983,50
10.0,1.0,179.94649538486348,76.04956979379784,22.50055718421936,50
10.0,2.0,185.2903966754524,75.46852842127818,22.349051237106323,50
