bf,num_stages,mean_cost,std_cost,mean_solve_s,n_days,wall_s,skipped
2,2,149.62200159099632,60.96510188699715,0.016911144971847532,100,22.61776828765869,False
3,2,149.67828147899397,60.97351216455112,0.022425872802734375,100,30.570576906204224,False
4,2,149.62200159099632,60.96510188699715,0.028371524333953856,100,38.791494846343994,False
2,3,163.34384179530028,72.94931842916566,0.02611152672767639,100,38.51401877403259,False
3,3,161.1706498377376,69.55644208528298,0.04778542971611023,100,71.2461609840393,False
4,3,160.8549043207155,69.4214620227766,0.08580651640892029,100,124.5584728717804,False
2,4,155.11823040705852,68.24333195863535,0.06238557314872742,100,89.31505584716797,False
3,4,158.77255588005045,75.01259670925141,0.1709523344039917,100,231.64787578582764,False
4,4,151.7009030699164,67.84692431329641,0.46509682726860047,100,585.7247920036316,False
2,5,157.54670635479977,76.79915716970721,0.2161469841003418,100,256.19388818740845,False
3,5,161.57524104223913,76.51053930640248,2.0228033404350283,100,2160.6385049819946,False
